kode	uraian	vol	sat	hargasat	jumlah	kdblokir	sdana
024.12.10	Program Pengembangan dan Pemberdayaan Sumber Daya Manusia Kesehatan (PPSDMK)	0		0	1.54358E+11		
2077	Pendidikan SDM Kesehatan	0		0	2667000000		
2077.006	"Tenaga Kesehatan Yang Belum Diploma III Yang Mendapatkan Bantuan Biaya Pendidikan Pada Program Percepatan Pendidikan Tenaga Kesehatan
[Base Line]"	844	Orang	0	2667000000		
   052	Pelaksanaan Program Percepatan Pendidikan Tenaga Kesehatan	0		0	2667000000		
      A	Keperawatan Semarang	0		0	213440000		
     521119	Belanja Barang Operasional Lainnya	0		0	10500000		A
	> Persiapan	0		0	10500000		
	    -     Pelatihan Softskill  [75 MHS x 1 KEG]	75	OR	140000	10500000		
     521211	Belanja Bahan	0		0	62340000		A
	> Persiapan	0		0	31589000		
	    -     Konsumsi rapat persiapan assesment RPL  [15 OR x 1 KEG]	15	OK	25000	375000		
	    -     Konsumsi pelaksanaan assesment (Ujian Tulis, Interview, Osce)  [15 OR x 1 KEG]	15	OK	25000	375000		
	    -     Fotocopy materi assesment	1	PKT	6119000	6119000		
	    -     Konsumsi PPSM  [200 OR x 1 KEG]	200	OR	35000	7000000		
	    -     Konsumsi rapat PPSM (Pengenalan Program Studi Mahasiswa)	15	OR	25000	375000		
	 >> Pelaksanaan	0		0	17345000		
	    -     Pengiriman surat	1	PKT	1170000	1170000		
	    -     Konsumsi rapat koordinasi praktek  [20 0RG x 1 KEG]	20	OK	25000	500000		
	    -     Penggandaan modul mata ajar  [15 MA x 3 MODUL x 25 LBR x 5 SET]	5625	LBR	200	1125000		
	    -     Penggandaan RPS, RPP dan kontrak belajar  [15 MA x 2 SMT x 50 LBR]	1500	LBR	200	300000		
	    -     Konsumsi rapat PBM  [15 ORG x 2 KEG x 2 SMT]	60	OK	25000	1500000		
	    -     Penggandaan buku panduan praktek klinik  [75 EXP x 3 MA x 2 SMT]	450	EXP	25000	11250000		
	    -     Biaya cetak buku bimbingan dan konseling  [75 MHS x 1 EXP]	75	EXP	20000	1500000		
	 >> Evaluasi	0		0	0		
	    -     Konsumsi rapat monev PBM	25	OR	25000	625000		
	    -     Konsumsi ujian proposal KTI  [12 KLP x 2 PT]	24	OK	25000	600000		
	    -     Konsumsi yudisium  [30 ORG x 1 KEG]	30	OR	25000	750000		
	    -     Konsumsi ujian sidang KTI  [12 KLP x 2 PT]	24	OK	25000	600000		
	    -     Penggandaan instrumen ujian osce  [15 KMPTS x 10 LBR x 2 KL x 171 MHS]	51300	LBR	200	10260000		
	    -     Penggandaan soal uji tulis  [15 MA x 8 LBR x 4 KL x 171 MHS]	82080	LBR	200	16416000		
	    -     Cetak buku panduan KTI  [75 EXP x 1 KL]	75	EXP	20000	1500000		
     521213	Belanja Honor Output Kegiatan	0		0	9000000		A
	    -     Honor dosen tamu  [2 DSN x 2 SMT x 2 JAM]	8	OK	250000	2000000		
	    -     Honor dosen tidak tetap  [2 SKS x 14 TM x 1 SMT]	28	OK	250000	7000000		
     521219	Belanja Barang Non Operasional Lainnya	0		0	33750000		A
	    -     Pemenuhan kompetensi IT  [75 MHS x 1 KEG]	75	OK	450000	33750000		
     522191	Belanja Jasa Lainnya	0		0	37500000		A
	    -     Biaya lahan praktek  [75 MHS x 5 MA x 2 MGG]	750	OK	50000	37500000		
     524111	Belanja Perjalanan Dinas Biasa	0		0	60350000		A
	    -     Transport dosen tamu  [2 DSN x 2 SMT x 1 KEG]	4	OK	350000	1400000		
	    -     Transport dosen tidak tetap  [2 DSN x 2 SMT x 14 TM]	56	OK	150000	8400000		
	    -     Uang harian supervisi kegiatan praktek klinik  [3 ORG x 1 KEG x 2 HR x 5 LHN]	30	OK	350000	10500000		
	    -     Transport bimbingan praktek klinik luar kota di jawa tengah  [2 ORG x 2 SMT x 5 LHN x 3 KEG]	60	OK	350000	21000000		
	    -     Transport bimbingan praktek klinik dalam kota  [2 ORG x 5 LHN x 2 SMT x 3 KEG]	60	OK	150000	9000000		
	 >> Monitoring Evaluasi	0		0	0		
	    -     Uang harian  [3 OR x 2 HARI]	6	OK	500000	3000000		
	    -     Penginapan rapat koordinasi  [3 OR x 2 HR]	6	OK	600000	3600000		
	    -     Transport koordinasi  [3 OR x 1 KL]	3	OK	1150000	3450000		
      B	Kebidanan Semarang	0		0	114565000		
     521211	Belanja Bahan	0		0	15915000		A
	> Persiapan	0		0	1575000		
	    -     Konsumsi rapat persiapan assesment RPL  [15 OR x 1 KEG]	15	OK	25000	375000		
	    -     Fotocopy materi assesment  [40 PST x 3 KEG x 1 PKT]	120	PKT	10000	1200000		
	 >> Pelaksanaan	0		0	0		
	    -     Penggandaan modul mata ajar  [15 MA x 3 MODUL x 25 LB x 5 SET]	5625	LBR	200	1125000		
	    -     Penggandaan Silabi, SAP, Kontrak Belajar  [15 MA x 2 SMT x 50 LB x 5 SET]	7500	LBR	200	1500000		
	    -     Konsumsi rapat pembelajaran PBM  [15 DSN x 2 KL x 2 SMT]	60	OK	25000	1500000		
	    -     Konsumsi rapat koordinasi Praktik  [20 OR x 2 KEG]	40	OK	25000	1000000		
	    -     Penggandaan Buku Panduan Praktik  [36 PKT x 3 KL]	108	PKT	35000	3780000		
	    -     Biaya cetak buku bimbingan dan konseling  [25 EXP x 1 KL]	25	EXP	35000	875000		
	 >> Monev	0		0	0		
	    -     Konsumsi rapat monev PBM	25	OR	25000	625000		
	    -     Konsumsi yudisium	25	OR	25000	625000		
	    -     Penggandaan soal uji tulis  [4 MK x 100 LBR x 2 SMT x 16 MHS]	12800	LBR	200	2560000		
	    -     Cetak buku panduan KTI  [25 EX x 1 KL]	25	EX	30000	750000		
     521219	Belanja Barang Non Operasional Lainnya	0		0	41400000		A
	    -     Pemenuhan kompetensi IT  [23 MHS x 1 KL]	23	OK	300000	6900000		
	    -     Pemenuhan kompetensi PPGDON  [23 MHS x 1 KL]	23	OK	1500000	34500000		
     522191	Belanja Jasa Lainnya	0		0	12650000		A
	    -     Biaya lahan praktik PK II  [23 OR x 1 BLN]	23	OK	200000	4600000		
	    -     Biaya lahan praktik PK III  [23 OR x 1 BLN]	23	OK	200000	4600000		
	    -     Biaya lahan PKL  [23 OR x 1 BLN]	23	OK	150000	3450000		
     524111	Belanja Perjalanan Dinas Biasa	0		0	30000000		A
	    -     Transport koordinasi  [2 OR x 2 KL]	4	OK	350000	1400000		
	    -     Uang harian koordinasi  [2 OR x 2 KL x 1 HR]	4	OH	350000	1400000		
	    -     Transport supervisi luar kota di jawa tengah  [15 OR x 3 KL x 1 SMT]	45	OH	350000	15750000		
